DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,26/10/2009,20,0.63, 
DATASET_01_2009_2017_PA,26/10/2009,21,0.68, 
DATASET_01_2009_2017_PA,26/10/2009,22,0.73, 
DATASET_01_2009_2017_PA,26/10/2009,23,0.76, 
DATASET_01_2009_2017_PA,26/10/2009,24,0.78, 
DATASET_01_2009_2017_PA,27/10/2009,1,0.79, 
DATASET_01_2009_2017_PA,27/10/2009,2,0.8, 
DATASET_01_2009_2017_PA,27/10/2009,3,0.76, 
DATASET_01_2009_2017_PA,27/10/2009,4,0.71, 
DATASET_01_2009_2017_PA,27/10/2009,5,0.63, 
DATASET_01_2009_2017_PA,27/10/2009,6,0.53, 
DATASET_01_2009_2017_PA,27/10/2009,7,0.45, 
DATASET_01_2009_2017_PA,27/10/2009,8,0.39, 
DATASET_01_2009_2017_PA,27/10/2009,9,0.33, 
DATASET_01_2009_2017_PA,27/10/2009,10,0.26, 
DATASET_01_2009_2017_PA,27/10/2009,11,0.23, 
DATASET_01_2009_2017_PA,27/10/2009,12,0.19, 
DATASET_01_2009_2017_PA,27/10/2009,13,0.19, 
DATASET_01_2009_2017_PA,27/10/2009,14,0.19, 
DATASET_01_2009_2017_PA,27/10/2009,15,0.2, 
DATASET_01_2009_2017_PA,27/10/2009,16,0.24, 
DATASET_01_2009_2017_PA,27/10/2009,17,0.3, 
DATASET_01_2009_2017_PA,27/10/2009,18,0.36, 
DATASET_01_2009_2017_PA,27/10/2009,19,0.46, 
DATASET_01_2009_2017_PA,27/10/2009,20,0.61, 
DATASET_01_2009_2017_PA,27/10/2009,21,0.8, 
DATASET_01_2009_2017_PA,27/10/2009,22,1, 
DATASET_01_2009_2017_PA,27/10/2009,23,1.15, 
DATASET_01_2009_2017_PA,27/10/2009,24,1.2, 
DATASET_01_2009_2017_PA,28/10/2009,1,1.18, 
DATASET_01_2009_2017_PA,28/10/2009,2,1.14, 
DATASET_01_2009_2017_PA,28/10/2009,3,1.05, 
DATASET_01_2009_2017_PA,28/10/2009,4,0.93, 
DATASET_01_2009_2017_PA,28/10/2009,5,0.75, 
DATASET_01_2009_2017_PA,28/10/2009,6,0.56, 
DATASET_01_2009_2017_PA,28/10/2009,7,0.4, 
DATASET_01_2009_2017_PA,28/10/2009,8,0.33, 
DATASET_01_2009_2017_PA,28/10/2009,9,0.33, 
